mean_centroid,std_centroid,mean_rolloff,std_rolloff,mean_zcr,std_zcr,mean_flux,std_flux,low_e,bpm_second,bpm_first,tempo_strength_second,tempo_strength_first,estimated_tempo,genre
1292.911804,252.6061478,3225.693726,526.7363434,0.145654224,0.054738877,269.1817245,129.6378021,0.538580247,74.4829199,95.36132813,0.67263203,0.738156872,129.1992188,blues
895.8405762,348.3358536,2380.465698,842.7709351,0.08734272,0.057423566,151.0202255,104.5319462,0.541666667,49.29970189,49.29970189,0.568357962,0.609865714,67.99958882,blues
1213.755066,308.9133682,2870.379395,656.7051697,0.141590241,0.053367844,378.695282,167.2284813,0.549382716,29.36345881,161.4990234,0.604369064,0.725637969,161.4990234,blues
843.065094,284.831871,2159.567627,789.9161987,0.079904547,0.041180117,160.009819,124.7120819,0.574074074,31.13686166,61.5234375,0.619753023,0.696027364,61.5234375,blues
1390.36908,366.2885818,3167.740234,790.0383301,0.174191885,0.058718707,211.4382553,127.6643753,0.533950617,33.12800481,143.5546875,0.636426445,0.653260384,129.1992188,blues
1309.665894,587.3784332,2966.29834,1116.436127,0.148613345,0.087344911,203.0790215,177.7818031,0.543209877,71.2923617,71.77734375,0.532904415,0.548805275,107.6660156,blues
1198.69458,469.3471527,2684.588989,906.0045166,0.133376248,0.069353815,284.8273926,250.6403065,0.544753086,98.59940378,75.99954044,0.452524732,0.506838921,73.8884421,blues
1107.905457,404.2658844,2691.600464,706.3460083,0.114411011,0.06536897,232.5591316,199.2342033,0.552469136,114.84375,46.14257813,0.489742053,0.522536596,92.28515625,blues
1221.773315,281.788414,3144.728394,584.1799164,0.122707266,0.054879617,254.001709,114.5929489,0.550925926,121.1242676,41.67716734,0.666403756,0.66976723,86.1328125,blues
1233.051208,371.4112091,3171.545288,776.610672,0.124388706,0.049342747,138.4613438,126.122191,0.572530864,63.90498992,83.44116211,0.568810327,0.581185606,129.1992188,blues
1160.797302,345.3905487,2771.070679,853.8070068,0.119901348,0.051300516,248.6526642,173.0299225,0.547839506,53.83300781,161.4990234,0.568915791,0.660341335,161.4990234,blues
1033.308411,527.2115784,2589.317749,1088.808014,0.102300584,0.081184246,72.83371353,76.27561378,0.654320988,56.17357337,54.1193536,0.575311237,0.632205793,161.4990234,blues
1132.603851,455.857193,2890.051636,890.7863159,0.124272484,0.081019703,184.7448235,128.9455547,0.587962963,61.5234375,92.28515625,0.574514324,0.584986277,138.4277344,blues
912.1135559,340.0764236,2491.271973,765.7411346,0.086651433,0.0517028,147.2364922,77.35714245,0.554012346,89.72167969,89.72167969,0.658438838,0.667455001,107.6660156,blues
847.0869751,368.5468903,2232.341797,938.6919861,0.080579991,0.057478651,105.4744205,119.5356426,0.584876543,80.74951172,161.4990234,0.480944949,0.558957792,152.5268555,blues
1035.095764,374.3199387,2767.315674,729.9994965,0.102773771,0.059534146,140.0252266,115.1209016,0.547839506,138.4277344,74.53801082,0.576505278,0.627245867,99.38401442,blues
1048.05368,404.5622101,2713.698608,846.698822,0.106710961,0.063725546,146.4663754,123.6052475,0.570987654,199.9511719,37.26900541,0.602548837,0.657055343,141.9771635,blues
953.1079102,423.2800446,2408.030273,918.4836731,0.098637341,0.055066021,151.7737427,104.4345207,0.564814815,68.46154254,135.3515625,0.625127313,0.634357222,161.4990234,blues
957.9080811,328.2336426,2797.555054,787.6594696,0.079898508,0.054279583,96.53874397,84.117167,0.62345679,41.67716734,83.44116211,0.605782516,0.670699506,83.44116211,blues
912.9491272,370.1703033,2380.233032,934.2108459,0.092135729,0.053419057,161.4290161,122.6958981,0.543209877,71.13647461,169.5739746,0.670330044,0.701896448,123.326527,blues
928.5460815,243.6291809,2592.242065,614.6543121,0.086342765,0.039030623,116.551302,91.12358856,0.578703704,129.1992188,143.5546875,0.617405403,0.631016531,129.1992188,blues
756.1392212,368.8733521,1852.702881,907.0584106,0.076077539,0.054080143,143.9137344,141.4116669,0.646604938,62.70658053,74.53801082,0.588882032,0.719653983,99.38401442,blues
847.5195923,395.8005753,2189.807251,986.7453613,0.085627323,0.061949146,178.0969315,146.065032,0.614197531,48.77178486,92.28515625,0.549861305,0.606137095,99.38401442,blues
1012.658112,337.1165619,2762.032104,699.8612518,0.098068306,0.056816631,163.7514725,141.1696568,0.566358025,70.06835938,64.59960938,0.61699359,0.633783901,95.83458534,blues
921.9424744,388.2100677,2552.365723,960.6132202,0.085702794,0.05397504,136.2211189,126.0881276,0.589506173,83.69180162,51.6796875,0.613572252,0.64117026,103.525015,blues
921.82724,346.889534,2483.529175,864.8998413,0.088551732,0.053572805,141.0146713,116.8032284,0.632716049,69.21386719,76.90429688,0.575816133,0.598566381,92.28515625,blues
912.2180176,363.901535,2519.069092,897.9980774,0.084560199,0.05148279,111.0543022,115.3489113,0.685185185,128.5045993,83.44116211,0.530108895,0.589184133,83.44116211,blues
1167.196442,401.991951,3019.084595,651.4725494,0.118126329,0.071742484,145.7231693,103.3478956,0.580246914,46.99707031,99.38401442,0.598665627,0.616115206,92.28515625,blues
923.967804,317.7969971,2498.931519,755.7592926,0.089764511,0.048129776,164.6634178,147.9491835,0.598765432,67.99958882,133.5058594,0.680781806,0.746226107,107.6660156,blues
857.065033,414.719635,2193.096802,967.303833,0.079312874,0.057284922,144.072567,101.3506775,0.595679012,43.06640625,96.89941406,0.614374787,0.648887078,129.1992188,blues
699.943573,283.9260559,1795.497009,749.5726776,0.059394469,0.036319781,158.0605698,84.14623737,0.555555556,89.20898438,114.84375,0.697140746,0.709893019,143.5546875,blues
713.8152161,242.1468773,1868.005371,661.1477356,0.063095449,0.034776329,128.3883362,71.33589458,0.540123457,75.99954044,188.4155273,0.667516228,0.678376425,130.5042614,blues
748.8649597,462.2964783,1851.074463,930.0090027,0.070732104,0.075893778,76.18413544,75.99413109,0.651234568,98.69384766,98.59940378,0.488641967,0.510305412,129.1992188,blues
668.3528137,293.6060562,1635.111206,774.6041718,0.056582514,0.032144584,115.8540382,64.82265472,0.583333333,103.525015,118.7492819,0.667588656,0.6792906,107.6660156,blues
797.0085144,291.5308685,2057.417847,847.1452332,0.07333426,0.038106303,152.94767,95.25409889,0.549382716,95.36132813,84.14234835,0.627097561,0.634080897,110.7421875,blues
797.830719,233.6872253,2047.465332,706.5975647,0.07141736,0.029685127,179.8275299,92.264328,0.557098765,200.9765625,64.59960938,0.627339682,0.638628013,129.1992188,blues
692.2298584,223.9359016,1763.346741,641.6286011,0.05986313,0.02739588,184.9799614,105.3912983,0.524691358,109.777114,108.8362984,0.664711393,0.672097763,130.5042614,blues
754.6938477,350.1015778,1813.474548,939.3078003,0.079349097,0.052184251,77.09124756,67.95501518,0.612654321,80.74951172,117.4538352,0.54727886,0.56535884,117.4538352,blues
771.1485901,330.6168594,2027.244812,793.3662109,0.068843883,0.047417011,160.255867,85.77153015,0.546296296,50.75683594,161.4990234,0.634897619,0.656718219,129.1992188,blues
663.3273315,299.7182159,1639.547363,806.4988251,0.057408895,0.036584728,64.50167465,55.62437725,0.643518519,58.72691761,78.30255682,0.539935304,0.592880043,117.4538352,blues
1492.920105,338.7598419,3934.860718,498.9968338,0.141442329,0.061588671,253.7461548,93.72879028,0.574074074,117.4538352,43.06640625,0.793983452,0.803114134,117.4538352,blues
1415.414185,314.4421997,3669.2677,526.8262482,0.130568065,0.053008994,224.878479,100.1942635,0.592592593,80.26012074,64.59960938,0.732270101,0.808068365,129.1992188,blues
1499.525635,430.9879608,3767.031128,717.4012909,0.150577035,0.079960743,153.9581871,88.99100113,0.538580247,123.046875,75.50603693,0.603583075,0.633427116,92.28515625,blues
