mean_centroid,std_centroid,mean_rolloff,std_rolloff,mean_zcr,std_zcr,mean_flux,std_flux,low_e,bpm_second,bpm_first,tempo_strength_second,tempo_strength_first,estimated_tempo,genre
1316.083191,325.3930054,3275.007446,498.3416901,0.155377582,0.056757428,397.5960083,223.864109,0.598765432,150.0378024,61.5234375,0.7351024,0.770458628,129.1992188,blues
959.5317688,420.5685425,2512.838379,798.0836487,0.09971654,0.066331627,311.3544388,227.7678146,0.555555556,64.59960938,33.99979441,0.633685343,0.681158104,92.72671202,blues
1200.341248,387.2745056,2848.463989,643.4241638,0.144639928,0.064976074,485.0076141,240.4377518,0.561728395,80.74951172,90.53733132,0.656936572,0.697523933,134.5825195,blues
847.9053955,362.821228,2179.588867,753.0301819,0.077823125,0.037669977,247.376297,187.0848427,0.591049383,31.13686166,47.68066406,0.652197262,0.689235211,95.36132813,blues
1448.139282,460.9944763,3208.165039,794.8274231,0.190074988,0.080192138,304.1935349,206.4093018,0.598765432,62.70658053,200.9765625,0.679616047,0.703541699,129.1992188,blues
1421.398438,680.2013245,3098.239136,1071.888153,0.176631026,0.114401255,221.7705612,212.9425812,0.580246914,109.2850535,71.77734375,0.59023048,0.607688111,112.5599254,blues
1326.487366,553.5093536,2800.147095,888.6264343,0.170161866,0.094911948,328.5703583,321.673645,0.600308642,98.59940378,75.99954044,0.537777332,0.602471912,102.5993796,blues
1200.685181,526.4401245,2797.455688,799.0861816,0.132400442,0.079880575,268.9133759,249.377533,0.62654321,95.83458534,130.7373047,0.57852007,0.612448741,92.28515625,blues
1226.45816,393.6967316,3122.829468,555.5237274,0.132937022,0.068781819,455.7080841,235.17099,0.554012346,132.6599121,101.5880954,0.717955036,0.73293983,101.7933239,blues
1362.155334,498.4167328,3342.066162,705.3476257,0.160551701,0.091339231,229.9960175,231.8983765,0.637345679,150.0378024,127.8533936,0.607976341,0.617146261,129.1992188,blues
1210.353516,424.1632385,2777.251343,885.0988464,0.137164768,0.065134024,307.7363281,250.9504547,0.554012346,156.1157227,161.4990234,0.602435906,0.619405399,134.5825195,blues
1032.133575,515.0460358,2542.380188,951.3088074,0.105647609,0.075457726,158.3456917,152.0540352,0.62191358,142.9438165,121.709409,0.660516623,0.660803831,152.5268555,blues
1202.263336,561.57724,2929.163574,936.6098328,0.146031566,0.106252145,253.2169113,209.9295197,0.648148148,153.8085938,76.90429688,0.592006624,0.617804666,138.4277344,blues
992.09729,467.3642883,2580.345703,759.8403625,0.110036861,0.081633778,256.7168121,158.3914909,0.651234568,146.1181641,71.77734375,0.647432431,0.652685543,107.6660156,blues
